IPN,MPN,Manufacturer,Description,Symbol,Footprint,Resistance,Voltage,Power,Tolerance,Datasheet
RES-0001-5363,RC0402FR-075K36L,Yageo,5.36K 0402,Device:R_US,Resistor_SMD:R_0402_1005Metric;R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,5.36K,50V,63mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0001-5364,RC0402FR-0753K6L,Yageo,53.6K 0402,Device:R_US,Resistor_SMD:R_0402_1005Metric;R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,53.6K,50V,63mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0001-5365,RC0402FR-07536KL,Yageo,536K 0402,Device:R_US,Resistor_SMD:R_0402_1005Metric;R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,536K,50V,63mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0001-5366,RC0402FR-075M36L,Yageo,5.36M 0402,Device:R_US,Resistor_SMD:R_0402_1005Metric;R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,5.36M,50V,63mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0001-5490,RC0402FR-075R49L,Yageo,5.49 0402,Device:R_US,Resistor_SMD:R_0402_1005Metric;R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,5.49,50V,63mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0001-5491,RC0402FR-0754R9L,Yageo,54.9 0402,Device:R_US,Resistor_SMD:R_0402_1005Metric;R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,54.9,50V,63mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0001-5492,RC0402FR-07549RL,Yageo,549 0402,Device:R_US,Resistor_SMD:R_0402_1005Metric;R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,549,50V,63mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0001-5493,RC0402FR-075K49L,Yageo,5.49K 0402,Device:R_US,Resistor_SMD:R_0402_1005Metric;R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,5.49K,50V,63mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0001-5494,RC0402FR-0754K9L,Yageo,54.9K 0402,Device:R_US,Resistor_SMD:R_0402_1005Metric;R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,54.9K,50V,63mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0001-5495,RC0402FR-07549KL,Yageo,549K 0402,Device:R_US,Resistor_SMD:R_0402_1005Metric;R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,549K,50V,63mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0001-5496,RC0402FR-075M49L,Yageo,5.49M 0402,Device:R_US,Resistor_SMD:R_0402_1005Metric;R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,5.49M,50V,63mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0001-5620,RC0402FR-075R62L,Yageo,5.62 0402,Device:R_US,Resistor_SMD:R_0402_1005Metric;R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,5.62,50V,63mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0001-5621,RC0402FR-0756R2L,Yageo,56.2 0402,Device:R_US,Resistor_SMD:R_0402_1005Metric;R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,56.2,50V,63mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0001-5622,RC0402FR-07562RL,Yageo,562 0402,Device:R_US,Resistor_SMD:R_0402_1005Metric;R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,562,50V,63mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
